;Link;BibtexID;ResponsiblePerson;Title;StudyType;Dataset;Domain of tests [other];DataPyramid;DatasetFeatures;Coupled/Decoupled;GroundTruthType;RecommendationType;GroupSizes;Baselines;GroupConstruction;GroupDuration;EvaluationDimensions;ReproducibleCode;ReproducibleData;ReproducibleGroups;ReproducibleEvalProtocol;Notes;ParsedDataset;DatasetHighLevel;ParsedDatasetHighLevel;ParsedBaselines;EvaluationDimensionsHighLevel;ParsedDomain;ParsedGroupConstruction;ParsedGroupConstructionHighLevel;ParsedGroupSizes;bib_text;bib_ID;bib_title;bib_authors;bib_year;bib_venue;bib_venue_long;bib_venue_type;bib_doi;bib_url;bib_publisher
122;https://dl.acm.org/doi/abs/10.1145/3331184.3331251;;LP;Interact and Decide: Medley of Sub-Attention Networks for Effective Group Recommendation;offline;plancast,meetup(ny),ml1m;events,movies;GroupDecisions;;Coupled;Group;One-session;avg: 12, 17, 5;item-based,preference-aggregation,pit,com;organic+similar,random;Mixed;relevance(precision@k,recall@k,ndcg@k);Algorithm only;Plancast and Meetup datasets not available;Groups + GenerationProcedure;;;['plancast', 'meetup(ny)', 'ml1m'];plancast,meetup,ml1m;['plancast', 'meetup', 'ml1m'];['item-based', 'profile-aggregation', 'pit', 'com'];['relevance'];['events', 'movies'];['organic', 'similar', 'random'];['organic', 'similar', 'random'];[12.0, 17.0, 5.0];"@inproceedings{10.1145/3331184.3331251,
author = {Vinh Tran, Lucas and Nguyen Pham, Tuan-Anh and Tay, Yi and Liu, Yiding and Cong, Gao and Li, Xiaoli},
title = {Interact and Decide: Medley of Sub-Attention Networks for Effective Group Recommendation},
year = {2019},
isbn = {9781450361729},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3331184.3331251},
doi = {10.1145/3331184.3331251},
abstract = {This paper proposes Medley of Sub-Attention Networks (MoSAN), a new novel neural architecture for the group recommendation task. Group-level recommendation is known to be a challenging task, in which intricate group dynamics have to be considered. As such, this is to be contrasted with the standard recommendation problem where recommendations are personalized with respect to a single user. Our proposed approach hinges upon the key intuition that the decision making process (in groups) is generally dynamic, i.e., a user's decision is highly dependent on the other group members. All in all, our key motivation manifests in a form of an attentive neural model that captures fine-grained interactions between group members. In our MoSAN model, each sub-attention module is representative of a single member, which models a user's preference with respect to all other group members. Subsequently, a Medley of Sub-Attention modules is then used to collectively make the group's final decision. Overall, our proposed model is both expressive and effective. Via a series of extensive experiments, we show that MoSAN not only achieves state-of-the-art performance but also improves standard baselines by a considerable margin.},
booktitle = {Proceedings of the 42nd International ACM SIGIR Conference on Research and Development in Information Retrieval},
pages = {255–264},
numpages = {10},
keywords = {recommender systems, neural attention mechanism, collaborative filtering, group recommendation},
location = {Paris, France},
series = {SIGIR'19}
}
";10.1145/3331184.3331251;Interact and Decide: Medley of Sub-Attention Networks for Effective Group Recommendation;['Vinh Tran, Lucas', 'Nguyen Pham, Tuan-Anh', 'Tay, Yi', 'Liu, Yiding', 'Cong, Gao', 'Li, Xiaoli'];2019;SIGIR;Proceedings of the 42nd International ACM SIGIR Conference on Research and Development in Information Retrieval;inproceedings;10.1145/3331184.3331251;https://doi.org/10.1145/3331184.3331251;ACM
124;https://ieeexplore.ieee.org/abstract/document/8613823;;LP;GERF: A Group Event Recommendation Framework Based on Learning-to-Rank;offline;meetup(chicago),douban(beijing);events;No_groups;;Coupled;Individual;One-session;2-6;item-based,com,hbgg;similar;Mixed;relevance(precision@k,recall@k,f1);Algorithm only;Datasets self-extracted and not made available (check Meetup);General characteristics;in evaluation, it is not clear how group attendance is defined;;['meetup(chicago)', 'douban(beijing)'];meetup;['meetup'];['item-based', 'com', 'hbgg'];['relevance'];['events'];['similar'];['similar'];[4.0];" @article{Du_2020, title={GERF: A Group Event Recommendation Framework Based on Learning-to-Rank}, volume={32}, ISSN={2326-3865}, url={http://dx.doi.org/10.1109/tkde.2019.2893361}, DOI={10.1109/tkde.2019.2893361}, number={4}, journal={IEEE Transactions on Knowledge and Data Engineering}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Du, Yulu and Meng, Xiangwu and Zhang, Yujie and Lv, Pengtao}, year={2020}, month=apr, pages={674–687} }
";Du_2020;GERF: A Group Event Recommendation Framework Based on Learning-to-Rank;['Du, Yulu', 'Meng, Xiangwu', 'Zhang, Yujie', 'Lv, Pengtao'];2020;IEEE Transactions on Knowledge and Data Engineering;;article;10.1109/tkde.2019.2893361;http://dx.doi.org/10.1109/tkde.2019.2893361;IEEE
125;https://ieeexplore.ieee.org/abstract/document/8663390;;LP;CVTM: A Content-Venue-Aware Topic Model for Group Event Recommendation;offline;douban(beijing),douban(shanghai),meetup(chicago),meetup(phoenix);events;No_groups;;Coupled;Individual;One-session;2-6;item-based,pcgr,com,hbgg;similar;Mixed;relevance(recall@k,ndcg@k);Algorithm only;Datasets self-extracted and not made available (check Meetup);GenerationProcedure;in evaluation, it is not clear how group attendance is defined;;['douban(beijing)', 'douban(shanghai)', 'meetup(chicago)', 'meetup(phoenix)'];douban;['douban'];['item-based', 'pcgr', 'com', 'hbgg'];['relevance'];['events'];['similar'];['similar'];[4.0];" @article{Du_2020, title={CVTM: A Content-Venue-Aware Topic Model for Group Event Recommendation}, volume={32}, ISSN={2326-3865}, url={http://dx.doi.org/10.1109/tkde.2019.2904066}, DOI={10.1109/tkde.2019.2904066}, number={7}, journal={IEEE Transactions on Knowledge and Data Engineering}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Du, Yulu and Meng, Xiangwu and Zhang, Yujie}, year={2020}, month=jul, pages={1290–1303} }
";Du_2020;CVTM: A Content-Venue-Aware Topic Model for Group Event Recommendation;['Du, Yulu', 'Meng, Xiangwu', 'Zhang, Yujie'];2020;IEEE Transactions on Knowledge and Data Engineering;;article;10.1109/tkde.2019.2904066;http://dx.doi.org/10.1109/tkde.2019.2904066;IEEE
127;https://ieeexplore.ieee.org/abstract/document/8896961;;LP;Group Recommendation via Self-Attention and Collaborative Metric Learning Model;offline;camra2011,meetup;movies,events;GroupDecisions;;Coupled;Group;One-session;avg: 2, 685;item-based,agree;organic;Unclear / not specified;relevance(precision@k,recall@k,ndcg@k,auc);Algorithm only;Meetup data not available;Groups;no details on how are data splitted for the evaluation;;['camra2011', 'meetup'];camra2011,meetup;['camra2011', 'meetup'];['item-based', 'agree'];['relevance'];['movies', 'events'];['organic'];['organic'];[2.0, 685.0];" @article{Wang_2019, title={Group Recommendation via Self-Attention and Collaborative Metric Learning Model}, volume={7}, ISSN={2169-3536}, url={http://dx.doi.org/10.1109/access.2019.2953176}, DOI={10.1109/access.2019.2953176}, journal={IEEE Access}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Wang, Haiyan and Li, Yuliang and Frimpong, Felix}, year={2019}, pages={164844–164855} }
";Wang_2019;Group Recommendation via Self-Attention and Collaborative Metric Learning Model;['Wang, Haiyan', 'Li, Yuliang', 'Frimpong, Felix'];2019;IEEE Access;;article;10.1109/access.2019.2953176;http://dx.doi.org/10.1109/access.2019.2953176;IEEE
128;https://ieeexplore.ieee.org/abstract/document/9005686;;LP;GRADI: Towards Group Recommendation Using Attentive Dual Top-Down and Bottom-Up Influences;offline;meetup(ny),camra2011;events,movies;GroupDecisions;;Coupled;Group;One-session;avg: 17, 2;item-based,indivrs-groups-data,mosan,agree,;;Mixed;relevance(hr@k,ndcg@k);Algorithm only;Meetup data not available;Groups;;;['meetup(ny)', 'camra2011'];meetup,camra2011;['meetup', 'camra2011'];['item-based', 'indivrs-groups-data', 'mosan', 'agree', '-'];['relevance'];['events', 'movies'];[''];['unknown / not applicable'];[17.0, 2.0];" @inproceedings{He_2019, title={GRADI: Towards Group Recommendation Using Attentive Dual Top-Down and Bottom-Up Influences}, url={http://dx.doi.org/10.1109/bigdata47090.2019.9005686}, DOI={10.1109/bigdata47090.2019.9005686}, booktitle={2019 IEEE International Conference on Big Data (Big Data)}, publisher={IEEE}, author={He, Zhixiang and Chow, Chi-Yin and Zhang, Jia-Dong and Li, Ning}, year={2019}, month=dec }
";He_2019;GRADI: Towards Group Recommendation Using Attentive Dual Top-Down and Bottom-Up Influences;['He, Zhixiang', 'Chow, Chi-Yin', 'Zhang, Jia-Dong', 'Li, Ning'];2019;BigData;2019 IEEE International Conference on Big Data (Big Data);inproceedings;10.1109/bigdata47090.2019.9005686;http://dx.doi.org/10.1109/bigdata47090.2019.9005686;IEEE
129;https://link.springer.com/article/10.1007/s00521-019-04286-7;;LP;A study on the role of flexible preferences in group recommendations | SpringerLink;offline;ml100k,last.fm;movies,music;No_groups;;Coupled;Individual;One-session;200-1000;item-based;???;Ephemeral;relevance(groupsatisfaction);Algorithm only;Data;no details on group construction;;;['ml100k', 'last.fm'];ml100k,last.fm;['ml100k', 'last.fm'];['item-based'];['relevance'];['movies', 'music'];['???'];['unknown / not applicable'];[600.0];" @article{Dara_2019, title={A study on the role of flexible preferences in group recommendations}, volume={49}, ISSN={1573-7497}, url={http://dx.doi.org/10.1007/s10489-019-01455-y}, DOI={10.1007/s10489-019-01455-y}, number={9}, journal={Applied Intelligence}, publisher={Springer Science and Business Media LLC}, author={Dara, Sriharsha and Chowdary, C. Ravindranath}, year={2019}, month=apr, pages={3293–3307} }
";Dara_2019;A study on the role of flexible preferences in group recommendations;['Dara, Sriharsha', 'Chowdary, C. Ravindranath'];2019;Applied Intelligence;;article;10.1007/s10489-019-01455-y;http://dx.doi.org/10.1007/s10489-019-01455-y;Springer
130;https://link.springer.com/article/10.1007/s11036-018-1059-2;;LP;Efficient User Profiling Based Intelligent Travel Recommender System for Individual and Group of Users;offline;yelp,tripadvisor;pois;No_groups;#users: 20K, 13.4K;Not clear;Individual;One-session;???;item-based,sptw;???;Ephemeral;relevance(precision@k,hr@k,mae);Algorithm only;Datasets not published;no details on group construction;evaluation protocol mostly not described;;['yelp', 'tripadvisor'];yelp,tripadvisor;['yelp', 'tripadvisor'];['item-based', 'sptw'];['relevance'];['pois'];['???'];['unknown / not applicable'];[];" @article{Logesh_2018, title={Efficient User Profiling Based Intelligent Travel Recommender System for Individual and Group of Users}, volume={24}, ISSN={1572-8153}, url={http://dx.doi.org/10.1007/s11036-018-1059-2}, DOI={10.1007/s11036-018-1059-2}, number={3}, journal={Mobile Networks and Applications}, publisher={Springer Science and Business Media LLC}, author={Logesh, R. and Subramaniyaswamy, V. and Vijayakumar, V. and Li, Xiong}, year={2018}, month=may, pages={1018–1033} }
";Logesh_2018;Efficient User Profiling Based Intelligent Travel Recommender System for Individual and Group of Users;['Logesh, R.', 'Subramaniyaswamy, V.', 'Vijayakumar, V.', 'Li, Xiong'];2018;Mobile Networks and Applications;;article;10.1007/s11036-018-1059-2;http://dx.doi.org/10.1007/s11036-018-1059-2;Springer
131;https://link.springer.com/article/10.1007/s11042-018-6984-3;;LP;Evolutionary learning approach to multi-agent negotiation for group recommender systems;offline;synthetic;---;Synthetic;;Not applicable;Individual;One-session;2-10;item-based;gradualfromsimilarto,dissimilar;Ephemeral;relevance(ndcg@k);Algorithm only;Datasets not published;GenerationProcedure;;;['synthetic'];synthetic;['synthetic'];['item-based'];['relevance'];['---'];['gradualfromsimilarto', 'dissimilar'];['similar', 'divergent'];[6.0];" @article{Choudhary_2018, title={Evolutionary learning approach to multi-agent negotiation for group recommender systems}, volume={78}, ISSN={1573-7721}, url={http://dx.doi.org/10.1007/s11042-018-6984-3}, DOI={10.1007/s11042-018-6984-3}, number={12}, journal={Multimedia Tools and Applications}, publisher={Springer Science and Business Media LLC}, author={Choudhary, Nirmal and Bharadwaj, K. K.}, year={2018}, month=dec, pages={16221–16243} }
";Choudhary_2018;Evolutionary learning approach to multi-agent negotiation for group recommender systems;['Choudhary, Nirmal', 'Bharadwaj, K. K.'];2018;Multimedia Tools and Applications;;article;10.1007/s11042-018-6984-3;http://dx.doi.org/10.1007/s11042-018-6984-3;Springer
132;https://pure.tudelft.nl/ws/files/68754138/paper6.pdf;;LP;Towards creating a non-synthetic group recommendation dataset;simulation;ml100k;movies;No_groups;;Decoupled;Individual;One-session;5-14;-;random;Ephemeral;consensus(numberofswipes,%offailedruns);Algorithm only;Data;GenerationProcedure;;;['ml100k'];ml100k;['ml100k'];['-'];['consensus'];['movies'];['random'];['random'];[10.0];"@inproceedings{7c9bd078ab504f9ba94dcc4322f8acfa,
title = ""Towards creating a non-synthetic group recommendation dataset"",
abstract = ""Recommender systems can be useful in group settings, e.g. when choosing a movie to watch with a group. However, while considerable research in group recommendation has been performed, we still lack truly ecological datasets on group recommendations in real life consumption scenarios. Much of the existing work considers hypothetical consumption scenarios, and commonly, individual ratings are aggregated, but no actual group consumption takes place in which situational differences per group are taken into account. In this paper, we outline a vision for acquiring more realistic and ecological group consumption data, based on a crowdsourcing application that will acquire individual ratings per group consumption event. We discuss various design decisions that will allow us to gather these ratings effectively from a large group of people, and demonstrate and evaluate the viability of our approach towards reaching group consensus through rating session simulations."",
keywords = ""Crowd sourcing, Datasets, Group recommendation"",
author = ""Matthijs Rijlaarsdam and Sebastiaan Scholten and Liem, {Cynthia C.S.}"",
year = ""2019"",
language = ""English"",
series = ""CEUR Workshop Proceedings"",
publisher = ""CEUR-WS"",
pages = ""1--5"",
editor = ""Shalom, {Oren Sar } and Dietmar Jannach and {Guy }, {Ido }"",
booktitle = ""ImpactRS 2019 Impact of Recommender Systems 2019"",
note = ""1st Workshop on the Impact of Recommender Systems, ImpactRS 2019 ; Conference date: 19-09-2019 Through 19-09-2019"",
}
";7c9bd078ab504f9ba94dcc4322f8acfa;Towards creating a non-synthetic group recommendation dataset;['Matthijs Rijlaarsdam', 'Sebastiaan Scholten', 'Liem, {Cynthia C.S.}'];2019;RecSys;ImpactRS 2019 Impact of Recommender Systems 2019;inproceedings;;;CEUR-WS
133;https://link.springer.com/chapter/10.1007/978-3-030-18590-9_36;;LP;AGREE: Attention-Based Tour Group Recommendation with Multi-modal Data;offline;obtainedfromhttps://dl.acm.org/doi/pdf/10.1145/2766459;pois;No_groups;;Coupled;Individual;One-session;2-16;item-based;???;Ephemeral;relevance(meanscore),diversity(categoricalsimilarityfromhttps://dl.acm.org/doi/abs/10.1145/3240323.3240410);Algorithm only;Dataset no longer available;no details on group construction;;;['obtainedfromhttps://dl.acm.org/doi/pdf/10.1145/2766459'];obtainedfromhttps://dl.acm.org/doi/pdf/10.1145/2766459;['other'];['item-based'];['relevance'];['pois'];['???'];['unknown / not applicable'];[9.0];" @inbook{Hu_2019, title={AGREE: Attention-Based Tour Group Recommendation with Multi-modal Data}, ISBN={9783030185909}, ISSN={1611-3349}, url={http://dx.doi.org/10.1007/978-3-030-18590-9_36}, DOI={10.1007/978-3-030-18590-9_36}, booktitle={Lecture Notes in Computer Science}, publisher={Springer International Publishing}, author={Hu, Fang and Huang, Xiuqi and Gao, Xiaofeng and Chen, Guihai}, year={2019}, pages={314–318} }
";Hu_2019;AGREE: Attention-Based Tour Group Recommendation with Multi-modal Data;['Hu, Fang', 'Huang, Xiuqi', 'Gao, Xiaofeng', 'Chen, Guihai'];2019;DASFAA;Lecture Notes in Computer Science;inbook;10.1007/978-3-030-18590-9_36;http://dx.doi.org/10.1007/978-3-030-18590-9_36;Springer
134;https://link.springer.com/chapter/10.1007/978-3-030-30278-8_49;;LP;GameRecs: Video Games Group Recommendations;userstudy;obtainedusingsteamapi;games;GroupDefinition;#users: 24, 8 groups in total;Not applicable;Individual;One-session;2-4;item-based;???;Ephemeral;relevance(full&partialagreementonrecommendeditems);Code;Data;no details on group construction;;;['obtainedusingsteamapi'];obtainedusingsteamapi;['other'];['item-based'];['relevance'];['games'];['???'];['unknown / not applicable'];[3.0];" @inbook{Hannula_2019, title={GameRecs: Video Games Group Recommendations}, ISBN={9783030302788}, ISSN={1865-0937}, url={http://dx.doi.org/10.1007/978-3-030-30278-8_49}, DOI={10.1007/978-3-030-30278-8_49}, booktitle={New Trends in Databases and Information Systems}, publisher={Springer International Publishing}, author={Hannula, Rama and Nikkilä, Aapo and Stefanidis, Kostas}, year={2019}, pages={513–524} }
";Hannula_2019;GameRecs: Video Games Group Recommendations;['Hannula, Rama', 'Nikkilä, Aapo', 'Stefanidis, Kostas'];2019;ADBIS;New Trends in Databases and Information Systems;inbook;10.1007/978-3-030-30278-8_49;http://dx.doi.org/10.1007/978-3-030-30278-8_49;Springer
135;https://www.sciencedirect.com/science/article/pii/S0950705119300474;;LP;Detecting the latent associations hidden in multi-source information for better group recommendation;offline;camra2011;movies;GroupDecisions;;Coupled;Group;One-session;avg: 2;item-based;organic;Ephemeral;relevance(auc,map,recall@k);Algorithm only;Data;Groups;;;['camra2011'];camra2011;['camra2011'];['item-based'];['relevance'];['movies'];['organic'];['organic'];[2.0];" @article{Feng_2019, title={Detecting the latent associations hidden in multi-source information for better group recommendation}, volume={171}, ISSN={0950-7051}, url={http://dx.doi.org/10.1016/j.knosys.2019.02.002}, DOI={10.1016/j.knosys.2019.02.002}, journal={Knowledge-Based Systems}, publisher={Elsevier BV}, author={Feng, Shanshan and Zhang, Huaxiang and Wang, Lei and Liu, Li and Xu, Yuchang}, year={2019}, month=may, pages={56–68} }
";Feng_2019;Detecting the latent associations hidden in multi-source information for better group recommendation;['Feng, Shanshan', 'Zhang, Huaxiang', 'Wang, Lei', 'Liu, Li', 'Xu, Yuchang'];2019;Knowledge-Based Systems;;article;10.1016/j.knosys.2019.02.002;http://dx.doi.org/10.1016/j.knosys.2019.02.002;Elsevier BV
136;https://www.sciencedirect.com/science/article/pii/S0957417419303896;;LP;HGGC: A hybrid group recommendation model considering group cohesion;offline;meetup(ca),meetup(ny),gowalla;events,movies;GroupDecisions;;Coupled;Group;One-session;avg: 257, 382, 2;item-based,com,hbgg;organic;Permanent;relevance(hr@k,ndcg@k,recall@k);Algorithm only;No link for Meetup and Gowala datasets;Groups;;;['meetup(ca)', 'meetup(ny)', 'gowalla'];meetup,gowalla;['meetup', 'gowalla'];['item-based', 'com', 'hbgg'];['relevance'];['events', 'movies'];['organic'];['organic'];[257.0, 382.0, 2.0];" @article{Jeong_2019, title={HGGC: A hybrid group recommendation model considering group cohesion}, volume={136}, ISSN={0957-4174}, url={http://dx.doi.org/10.1016/j.eswa.2019.05.054}, DOI={10.1016/j.eswa.2019.05.054}, journal={Expert Systems with Applications}, publisher={Elsevier BV}, author={Jeong, Hyun Ji and Kim, Myoung Ho}, year={2019}, month=dec, pages={73–82} }
";Jeong_2019;HGGC: A hybrid group recommendation model considering group cohesion;['Jeong, Hyun Ji', 'Kim, Myoung Ho'];2019;Expert Systems with Applications;;article;10.1016/j.eswa.2019.05.054;http://dx.doi.org/10.1016/j.eswa.2019.05.054;Elsevier BV
137;https://link.springer.com/article/10.1007/s11042-023-17422-2;;LP;Can we please everyone? Group recommendations in signed social networks;offline;augmentedml100k;reviews/products;No_groups;#users: 132K, 13M ratings;Not clear;Individual;One-session;2-10;item-based;similar,divergent;Ephemeral;relevance(precision@k,recall@k,f1,mae,ndcg,averagegroupsatisfaction),fairness(varianceinsatisfactionscore);Algorithm only;Data;General characteristics;"not clear how group satisfaction is defined; link to dataset: https://www.kaggle.com/datasets/masoud3/epinions-trust-network";;['augmentedml100k'];augmentedml100k;['ml100k'];['item-based'];['relevance'];['reviews/products'];['similar', 'divergent'];['similar', 'divergent'];[6.0];" @article{Girdhar_2023, title={Can we please everyone? Group recommendations in signed social networks}, ISSN={1573-7721}, url={http://dx.doi.org/10.1007/s11042-023-17422-2}, DOI={10.1007/s11042-023-17422-2}, journal={Multimedia Tools and Applications}, publisher={Springer Science and Business Media LLC}, author={Girdhar, Nancy and Doucet, Antoine}, year={2023}, month=nov }
";Girdhar_2023;Can we please everyone? Group recommendations in signed social networks;['Girdhar, Nancy', 'Doucet, Antoine'];2023;Multimedia Tools and Applications;;article;10.1007/s11042-023-17422-2;http://dx.doi.org/10.1007/s11042-023-17422-2;Springer
